BREED	COUNTRY	IDNO	CODENO	REGNAME	ACTIVE	CODENAME	DOB	SREGNAME	REL_NM	PL	REL_PL	SCS	REL_SCS	MILK	FAT_P	FAT	STATUS	TDATE	TSOURCE	TDTRS	THRDS	PTAT	TREL	UDC	FLC	BDC	DC	BLACK_PCT	LDTRS	LHRDS	STAT	STR	BD	DF	RA	THURLW	RLS	RLR	FA	FLS	FUA	RUH	RUW	UC	UD	FTP	RTP	TEATL	CEDATE	SCE	PRELIM	SCE_OBS	SCE_REL	DCE	DCE_OBS	DCE_REL	SSB_OBS	SSB_HERDS	SSB_REL	SSB_PCT	SSB_SOURCE	SSB_OFF	DSB_OBS	DSB_DTRS	DSB_HERDS	DSB_REL	DSB_PCT	DSB_SOURCE	DSB_OFF	MS	REL_MS	DIS	AAA	DMS	SCR	SERV_SCR	REL_SCR	SIRE	EVALDATE	RHAIND	HBSTATUS	SBREED	SCOUNTRY	SIDNO	DBREED	DCOUNTRY	DIDNO	MGSBREED	MGSCOUNTRY	MGSIDNO	OBREED	OCOUNTRY	OIDNO	NAABCODE2	NAABCODE3	NAABCODE4	BREED_EVAL	FTI	FUI	NM_PCTILE	PCT_US	SCE_SOURCE	DCE_SOURCE	FI	FE
HO	USA	000140060414	14HO06416	"BREMER SOCRATESPORT RUSH-ET"	0	RUSH	2009-08-01	"VELVET-VIEW-KJ SOCRATES-ET"	91	2.5	87	2.72	90	28370	3.8	1066	A	2016-04-05	GUSA	103	57	0.79	93	0.53	0.78	0.89	1.21	5	104	58	1.41	0.23	0.72	1.3	3.3	0.16	-0.04	1.16	0.37	0.95	0.7	1.23	1.13	-0.41	0.55	-0.19	0.17	-1.09	2016-04-05	5.7	NULL	1324	97	4.2	202	75	1081	185	91	8.3	G	G	187	102	50	76	4.7	G	Y	NULL	NULL	NULL	321	123,135	0.7	3838	94	NULL	2016-04-05	NA	**	HO	USA	000133126053	HO	USA	000063544858	HO	USA	000060372887	HO	840	003004517929	"          "	"          "	"          "	HO	NULL	NULL	54	100	G	G	-0.9	50
JE	USA	000117593792	14JE00586	"BLUE MIST VALENTINO MAZING-ET"	1	"MAZING              "	2011-04-14	"ALL LYNNS LOUIE VALENTINO-ET  "	85	4	77	2.89	82	21851	4.4	966	A	2016-04-05	GUSA	45	14	1	85	11.3	0	NULL	NULL	NULL	45	14	0.6	0.3	0	0.4	0.7	0.4	-0.1	0	0.4	NULL	1.1	1	0.8	-0.2	1	0.6	NULL	-0.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	234	"234,345 "	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	USA	000116279413	JE	USA	000114590277	JE	DNK	000000301607	"  "	"   "	"            "	"          "	"          "	"          "	JE	11.07	5.3	53	100	NULL	NULL	NULL	NULL
HO	USA	000064632190	614HO06047	"LARS-ACRES FELICES FAVRE-ET"	1	"FAVRE          "	2008-02-17	"END-ROAD PVF BOLIVER-ET       "	94	1.7	89	2.88	95	28084	3.7	1031	A	2016-04-05	GUSA	174	94	2.25	95	1.91	1.73	2.07	2.35	NULL	175	94	2.23	1.83	2.14	1.92	-0.49	1.79	0.24	2.02	1.37	2.1	2.33	2.19	2.01	2.88	1.93	1.85	2.14	-0.08	2016-04-05	7.7	NULL	6158	99	6.8	586	88	5332	622	97	7	G	G	551	393	136	89	5.4	G	Y	NULL	NULL	NULL	234	"234,345 "	3.1	21832	99	NULL	2016-04-05	NA	**	HO	USA	000123586443	HO	USA	000132824873	HO	USA	000002250783	HO	840	003004518143	514HO06047	614HO06047	"          "	HO	NULL	NULL	30	100	G	G	-1.6	18
HO	USA	000063176717	614HO06060	"STROUT BAXTER FABIO-ET"	0	FABIO	2008-03-15	"EMERALD-ACR-SA T-BAXTER"	93	0.4	87	2.97	93	27695	3.9	1080	A	2016-04-05	GUSA	112	70	1.57	93	0.49	1.07	1.69	2.32	40	113	70	1.72	1.21	2.12	2.75	-0.15	2.14	-0.69	0.95	1.15	1.14	0.42	1.56	1.44	1.83	-0.47	0.36	1.29	0.49	2016-04-05	9.3	NULL	3169	99	8.4	338	81	2938	317	96	9.4	G	G	308	218	85	83	7.4	G	Y	NULL	NULL	NULL	246	"234,345 "	2.6	8477	97	NULL	2016-04-05	NA	**	HO	USA	000132973942	HO	USA	000061343339	HO	USA	000002250783	HO	840	003004518121	614HO06060	"          "	"          "	HO	NULL	NULL	32	100	G	G	-1.7	86
HO	USA	000064401251	14HO05992	"BOMAZ MAC MACE 740-ET"	0	"MACE           "	2007-11-17	"REGANCREST-HHF MAC-ET         "	93	-1.1	89	2.97	93	26253	3.7	963	I	2016-04-05	GUSA	97	60	0.06	92	-0.38	-0.1	-0.38	-0.69	95	101	60	-0.03	-0.96	-1.18	-0.13	-1.88	0.5	1.07	-0.29	-0.18	0.16	0.03	-0.24	-0.22	-1.03	-0.07	-1.08	-1.19	0.98	2016-04-05	9.2	NULL	456	92	6.9	376	82	424	104	83	8.3	G	G	361	182	76	82	7.3	G	Y	NULL	NULL	NULL	243	126	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000060540164	HO	USA	000061980219	HO	USA	000120780521	HO	840	003004222500	"          "	"          "	"          "	HO	NULL	NULL	13	100	G	G	1.3	26
HO	USA	000069207641	507HO11169	"WELCOME SUPER PETRONE-ET"	1	PETRONE	2010-07-23	"CHARLESDALE SUPERSTITION-ET"	97	7.6	93	2.64	99	29055	3.9	1125	A	2016-04-05	GUSA	876	270	1.18	99	1.55	1.36	0.16	0.14	85	877	270	0.2	0.44	-0.01	-0.22	-2.08	-0.5	-0.15	1.72	1.21	1.49	1.53	2.46	2.26	1.46	1.27	1.53	0.8	-0.33	2016-04-05	6.9	NULL	12308	99	5	2053	97	10413	847	99	8.2	G	G	1891	1615	324	96	4.7	G	Y	NULL	NULL	NULL	246315	"345,456 "	2.4	43439	99	NULL	2016-04-05	NA	**	HO	USA	000062065919	HO	840	003004008006	HO	USA	000132973942	"  "	"   "	"            "	507HO11169	"          "	"          "	HO	NULL	NULL	94	99	G	G	5.8	46
HO	USA	000068656222	507HO10985	"MR DE-SU ROBOTIC 641-ET"	0	"ROBOTIC        "	2009-10-09	"ENSENADA TABOO PLANET-ET"	92	4.7	87	2.7	92	27861	3.6	1016	I	2016-04-05	GUSA	104	60	0.55	92	1.05	0.34	-0.15	-0.39	NULL	104	60	-0.36	0.48	-0.26	-0.86	0.73	-0.48	-0.77	0.34	0.26	0.32	1.45	1.79	1.65	0.12	0.88	1.01	0.5	-0.8	2016-04-05	6.8	NULL	432	92	6.4	270	79	361	99	81	7.1	G	G	205	126	60	78	6.8	G	Y	NULL	NULL	NULL	NULL	"456,345 "	NULL	NULL	NULL	NULL	2016-04-05	"I "	99	HO	USA	000060597003	HO	FRA	002141062375	HO	USA	000122358313	"  "	"   "	"            "	"          "	"          "	"          "	HO	NULL	NULL	65	100	G	G	-0.5	61
HO	USA	000052817975	514HO05380	"NIBBE BURT BRUCE-ET"	0	BRUCE	2005-12-09	"LUTZ-BROOKVIEW BURT-ET"	95	-0.2	92	2.86	96	26886	3.7	1007	I	2016-04-05	GUSA	146	97	0.46	94	0.66	2.09	0.2	-0.3	25	147	97	0.34	0.17	-0.13	-0.63	1.01	0.08	-2.47	2.31	2.09	1.96	0.17	0.24	0.22	1.36	1.16	1.72	1.72	-0.88	2016-04-05	9.5	NULL	1109	96	8.2	679	87	981	219	90	8.7	G	G	645	388	149	88	8.2	G	Y	NULL	NULL	NULL	243165	"345,456 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000129901651	HO	USA	000060526348	HO	USA	000002290977	"  "	"   "	"            "	514HO05380	614HO05380	"          "	HO	NULL	NULL	09	76	G	G	-2.2	-6
JE	USA	000116517078	14JE00544	"GR HOCKETT RESCUE DALE DAZZLE{3}-"	1	"DAZZLE         "	2008-12-06	"PR OOMSDALE JACE GRATIT GARDEN-ET"	91	2.2	84	3.11	91	23647	4.1	977	I	2016-04-05	GUSA	71	28	0.2	89	3.2	0	NULL	NULL	NULL	71	28	0.1	0.2	0	-0.1	-1.1	0.3	0.1	0	-0.4	NULL	0.1	0.4	0.3	-0.2	0.5	0.2	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	126	"246,126 "	NULL	NULL	NULL	NULL	2016-04-05	"  "	GR	JE	USA	000067010224	JE	USA	000067085064	JE	USA	000110980032	"  "	"   "	"            "	"          "	"          "	"          "	JE	3.21	1.44	37	100	NULL	NULL	NULL	NULL
GU	USA	000068040118	507GU00447	"DAIRYMAN MINT PHONZE"	0	PHONZE	2010-04-06	"SPRING WALK SHERBERTS MINT"	71	0.8	55	3.12	63	18949	4.8	917	A	2016-04-05	GUSA	27	15	0.2	72	-0.39	0.43	NULL	NULL	NULL	27	15	-2.1	-0.9	-0.2	0.5	1.2	-0.9	-0.1	0.2	0.1	NULL	-0.2	0.3	0.3	-1.1	-0.8	0.2	NULL	-2.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	"624   "	NULL	1.2	223	46	NULL	2016-04-05	"  "	HR	GU	USA	000068017224	GU	USA	000063178679	GU	USA	000000604229	"  "	"   "	"            "	"          "	"          "	"          "	GU	NULL	NULL	79	100	NULL	NULL	NULL	NULL
JE	USA	000067036674	614JE00545	"GR WINDHAVENS GORGEOUS JORGE{3}"	0	"JORGE               "	2009-01-17	"PR OOMSDALE JACE GRATIT GARDEN-ET"	92	-0.2	85	3.31	92	21069	4.6	974	I	2016-04-05	GUSA	98	35	0.1	90	-6.7	0	NULL	NULL	NULL	98	35	-0.5	0.8	0	0.3	-1.5	0.6	-0.1	0	-0.2	NULL	-0.4	0.1	0.1	0.3	-1.2	0.1	NULL	0.8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	315	"345,234 "	NULL	NULL	NULL	NULL	2016-04-05	"  "	GR	JE	USA	000067010224	JE	USA	000113744208	JE	USA	000110226426	"  "	"   "	"            "	"          "	"          "	"          "	JE	-6.19	-3.74	17	100	NULL	NULL	NULL	NULL
JE	USA	000067070529	7JE01036	"AVON ROAD IMPULS PAT"	0	"PAT            "	2008-07-02	"ISDK Q IMPULS"	92	2.3	85	2.82	92	20861	4.9	1020	I	2016-04-05	GUSA	128	34	0.6	93	7	0	NULL	NULL	NULL	128	34	0.2	0	0	0.9	0.3	0.5	-0.1	0	0.1	NULL	0.4	0.9	0.7	-0.1	0.3	0.3	NULL	-1.2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	615432	"456,246 "	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	DNK	000000301592	JE	USA	000067010334	JE	USA	000000665185	"  "	"   "	"            "	507JE01036	"          "	"          "	JE	7.07	3.24	42	100	NULL	NULL	NULL	NULL
HO	USA	000140602463	100HO11151	"MR ATWOOD BROKAW-ET"	0	BROKAW	2010-03-16	"MAPLE-DOWNS-I G W ATWOOD-ET"	94	-2.3	88	3.1	95	27804	3.8	1066	A	2016-04-05	GUSA	350	202	3.33	95	2.95	1.58	3.19	2.63	90	350	202	4.35	1.47	2.48	3.67	-0.36	2.77	1.38	2.01	1.34	1.99	3.6	4.2	3.86	2.21	2.86	1.38	1.42	1.28	2016-04-05	12.1	NULL	6239	99	8.1	288	87	5742	1119	96	8.2	G	G	261	312	140	86	10.9	G	Y	NULL	NULL	NULL	234156	"123,135 "	2.3	18925	99	NULL	2016-04-05	NA	**	HO	CAN	000008956379	HO	USA	000063606799	HO	USA	000060540164	"  "	"   "	"            "	100HO11151	507HO11118	"          "	HO	NULL	NULL	14	80	G	G	-0.5	29
JE	USA	000067231736	507JE01082	"GR HEARTLAND GAN TED-1736{3}-ET"	0	HEART	2009-08-07	"PR OOMSDALE JACE GRATUDE GANNON-E"	87	2.1	79	2.86	85	22121	4.6	1010	I	2016-04-05	GUSA	28	17	0.2	83	-3.8	0	NULL	NULL	NULL	28	17	1.6	1.1	0	0.3	0.6	1.1	0.2	0	0.1	NULL	-0.6	0.1	0.1	0.9	-0.8	-0.3	NULL	0.9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	354126	234	NULL	NULL	NULL	NULL	2016-04-05	"  "	GR	JE	USA	000067010225	JE	USA	000115106857	JE	DNK	000000301607	"  "	"   "	"            "	507JE01082	"          "	"          "	JE	-4.55	-3.34	54	100	NULL	NULL	NULL	NULL
JE	USA	000117272624	507JE01140	"ALL LYNNS VIBRANT SEBASTIAN"	0	SEBASTIAN	2010-07-03	"ALL LYNNS RESTORE VIBRANT-ET"	91	1.8	82	2.89	91	22556	4.6	1041	I	2016-04-05	GUSA	122	41	0.6	93	8.6	0	NULL	NULL	NULL	122	41	1.5	-0.5	0	0.7	0.4	0.4	-0.2	0	0.3	NULL	0	0.6	0.5	0.3	1.2	-0.4	NULL	-0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	243156	126	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	USA	000116076850	JE	USA	000115381968	JE	USA	000112118277	"  "	"   "	"            "	507JE01140	"          "	"          "	JE	8.12	3.21	35	100	NULL	NULL	NULL	NULL
HO	USA	000065283038	514HO05994	"VATLAND MATRIX"	0	"MATRIX         "	2007-11-19	"SANDY-VALLEY BOLTON-ET        "	92	-1.4	89	3.09	92	27397	3.7	1012	I	2016-04-05	GUSA	109	61	0.79	93	1.08	0.67	0.15	-0.25	20	109	61	0.14	0.48	-0.01	-0.52	1.02	-0.4	-0.1	0.57	0.87	0.69	1.47	1.35	1.24	0.73	0.99	1.54	1.11	-0.73	2016-04-05	9.5	NULL	347	91	9.2	276	81	354	104	82	8.3	G	G	269	146	65	80	9.3	G	Y	NULL	NULL	NULL	513	"234,246 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000131823833	HO	USA	000061656440	HO	USA	000122358313	HO	840	003004518152	514HO05994	"          "	"          "	HO	NULL	NULL	25	100	G	G	-3.1	94
HO	USA	000065997320	507HO10679	"CEDAR-HAVEN-NR KID-ET"	0	KID	2008-12-27	"ENSENADA TABOO PLANET-ET"	95	3.8	92	2.81	96	28521	3.7	1057	A	2016-04-05	GUSA	164	73	0.83	94	0.77	-0.05	0.39	0.7	50	169	74	0.66	-0.01	-0.24	0.8	0.73	0.94	-0.16	0.13	-0.56	0.09	0.28	0.98	0.9	2.07	0.75	1.06	1.53	-1.4	2016-04-05	6.1	NULL	3044	99	6.9	492	89	2784	336	96	6.2	G	G	442	252	105	87	6.8	G	Y	NULL	NULL	NULL	432516	123,126	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000060597003	HO	USA	000062626424	HO	GBR	000000598172	"  "	"   "	"            "	507HO10679	"          "	"          "	HO	NULL	NULL	64	100	G	G	0.9	66
HO	USA	000068972328	7HO11464	"DA-SO-BURN MOM EARNHARDT P"	0	"EARNHARDT P    "	2010-12-12	"LONG-LANGS OMAN OMAN-ET"	94	-0.6	85	3.28	96	29001	3.7	1071	I	2016-04-05	GUSA	363	203	0.44	97	-0.32	0.26	1.29	1.33	65	363	203	2.06	0.59	0.42	1.26	1.42	0.5	1.17	0.09	0.08	0.62	-1.38	0.88	0.81	0.92	-1.09	0.03	0.39	0.95	2016-04-05	6	NULL	5894	99	4.6	378	96	5476	866	97	6.7	G	G	331	433	211	95	5.2	G	Y	NULL	NULL	NULL	432516	"234,246 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000135746776	HO	USA	000062739574	HO	USA	000133080890	"  "	"   "	"            "	507HO11464	"          "	"          "	HO	NULL	NULL	58	83	G	G	0.5	140
HO	USA	000069654791	14HO06920	"BERRYRIDGE OBSERV INTELL-ET"	0	"INTELL         "	2011-03-21	"DE-SU OBSERVER-ET"	91	5.4	85	2.79	92	29134	3.6	1039	P	2016-04-05	GUSA	87	48	0.58	91	1.55	0.3	-1.09	-1.1	65	87	48	-0.58	-1.72	-1.71	0.07	1.95	-1.17	-0.12	0.51	0	0.39	1.4	2.06	1.9	1.39	1.69	1.85	1.65	-2.89	2016-04-05	5.2	NULL	982	96	5.3	266	83	951	142	90	6.5	G	G	259	257	73	86	6.9	G	Y	NULL	NULL	NULL	321	"135,123 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000065917481	HO	USA	000063639616	HO	GBR	000000598172	HO	840	003008980076	614HO06920	"          "	"          "	HO	NULL	NULL	67	100	G	G	0.7	39
